Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Electric energy consumption Miles/kWh,wh/km,Maximum range (Km),Maximum range (Miles),Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Electricity cost,Total cost / 12000 miles,Euro Standard,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km],,,,,,,
PEUGEOT,308 SW,1.6 BlueHDi 120 S&S Allure,M6,1560,Diesel,,,,,3.6,3.2,3.3,78.5,88.3,85.6,88,£784,,£784,6,68.3,118,,62,70,0.10,,,,,,,
RENAULT,"Clio Euro6, 2015",dCi 110 S/S,M6,1461,Diesel,,,,,3.8,3.3,3.5,74.3,85.6,80.7,90,£831,,£831,6,72.0,354,,18,60,0.08,,,,,,,
RENAULT,"Clio Euro6, 2015",Energy dCi 90 S/S,M5,1461,Diesel,,,,,3.5,3.1,3.3,80.7,91.1,85.6,85,£784,,£784,6,72.3,158,,33,60,0.08,,,,,,,
RENAULT,"Clio Euro6, 2015",Energy dCi 90 S/S ECO,M5,1461,Diesel,,,,,3.3,3.1,3.2,86.6,91.1,88.3,82,£760,,£760,6,72.3,158,,33,60,0.08,,,,,,,
RENAULT,"Clio Sport Tourer Euro6, 2015",dCi 90 S/S,M5,1461,Diesel,,,,,3.5,3.1,3.3,80.7,91.1,85.6,85,£784,,£784,6,72.3,158,,33,60,0.08,,,,,,,
RENAULT,"Clio Sport Tourer Euro6, 2015",Energy dCi 90 S/S ECO,M5,1461,Diesel,,,,,3.4,3.1,3.2,83.1,91.1,88.3,84,£760,,£760,6,72.3,158,,33,60,0.08,,,,,,,
SKODA,Octavia Estate,1.6 TDI 110PS Stop-Start GreenLine with 16'' wheels,M6,1598,Diesel,,,,,3.9,3.2,3.5,72.4,88.3,80.7,90,£831,,£831,6,72.0,116,,54,88,0.00,,,,,,,
SKODA,Octavia Hatchback,1.6 TDI 110PS Stop-Start GreenLine with 16'' wheels,M6,1598,Diesel,,,,,3.9,3.2,3.5,72.4,88.3,80.7,90,£831,,£831,6,72.0,116,,54,88,0.00,,,,,,,
TOYOTA,"Auris, MY2017",1.4 D-4D 6-speed Manual with 15'' alloy wheels,6MT,1364,Diesel,,,,,3.9,3.1,3.4,72.4,91.1,83.1,89,£807,,£807,6,68.0,54,,57,77,0.00,,,,,,,
VAUXHALL,"Corsa 3 Door Hatchback, Model Year 2015","1.3 CDTi 95PS SRi VX-Line Stop/Start ecoFLEX with 15'', 16'' and 17'' wheels",M5,1248,Diesel,,,,,3.7,3.0,3.3,76.3,94.2,85.6,87,£784,,£784,6,73.0,141,,64,84,0.27,,,,,,,
VAUXHALL,"Corsa 3 Door Hatchback, Model Year 2016","1.3 CDTi 95PS SRi VX-Line ecoFLEX Stop/Start with 15'', 16'' and 17'' wheels",M5,1248,Diesel,,,,,3.7,3.0,3.3,76.3,94.2,85.6,87,£784,,£784,6,73.0,141,,64,84,0.27,,,,,,,
VAUXHALL,"Corsa 5 Door Hatchback, Model Year 2015",1.3 CDTi 95PS SE Stop/Start ecoFLEX with 16'' wheels,M5,1248,Diesel,,,,,3.8,3.0,3.3,74.3,94.2,85.6,87,£784,,£784,6,73.0,141,,64,84,0.27,,,,,,,
VAUXHALL,"Corsa 5 Door Hatchback, Model Year 2015",1.3 CDTi 95PS SRi VX-Line Start/Stop ecoFLEX,M5,1248,Diesel,,,,,3.8,3.1,3.4,74.3,91.1,83.1,89,£807,,£807,6,73.0,141,,64,84,0.30,,,,,,,
VAUXHALL,"Corsa 5 Door Hatchback, Model Year 2016",1.3 CDTi 95PS Design ecoFLEX Stop/Start with 15'' and 16'' wheels,M5,1248,Diesel,,,,,3.7,3.0,3.3,76.3,94.2,85.6,87,£784,,£784,6,73.0,141,,64,84,0.27,,,,,,,
VOLVO,V40 MY17,D2,6MT,1969,Diesel,,,,,3.8,3.1,3.4,74.3,88.3,83.1,89,£807,,£807,6,73.0,117,,53,66,0.52,,,,,,,
ALFA ROMEO,Giulietta,1.6 JTDm-2 (MY 2015),M6,1598,Diesel,,,,,4.7,3.2,3.8,60.1,88.3,74.3,99,£903,,£903,6,72.0,251,,21,79,0.50,,,,,,,
ALFA ROMEO,Giulietta,1.6 JTDm-2 120 (MY 2016),SAT6,1598,Diesel,,,,,4.7,3.2,3.8,60.1,88.3,74.3,99,£903,,£903,6,74.0,117,,62,89,0.30,,,,,,,
AUDI,A1,1.6 TDI 116PS 15'' wheels,M5,1598,Diesel,,,,,4.5,3.2,3.7,62.8,88.3,76.3,97,£879,,£879,6,72.0,109,,36,73,0.00,,,,,,,
AUDI,A1,1.6 TDI 116PS 16'' wheels,M5,1598,Diesel,,,,,4.5,3.2,3.7,62.8,88.3,76.3,97,£879,,£879,6,72.0,109,,36,73,0.00,,,,,,,
AUDI,A1,1.6 TDI 116PS 17'' wheels,M5,1598,Diesel,,,,,4.5,3.2,3.7,62.8,88.3,76.3,98,£879,,£879,6,72.0,109,,36,73,0.00,,,,,,,
AUDI,A1,1.6 TDI 116PS 7speed S tronic 15'' wheels,D7,1598,Diesel,,,,,4.4,3.4,3.8,64.2,83.1,74.3,99,£903,,£903,6,71.0,109,,27,66,0.19,,,,,,,
AUDI,A1,1.6 TDI 116PS 7speed S tronic 16'' wheels,D7,1598,Diesel,,,,,4.4,3.4,3.8,64.2,83.1,74.3,99,£903,,£903,6,71.0,109,,27,66,0.19,,,,,,,
AUDI,A1 Sportback,1.6 TDI 116PS 15'' wheels,M5,1598,Diesel,,,,,4.5,3.2,3.7,62.8,88.3,76.3,97,£879,,£879,6,72.0,109,,36,73,0.00,,,,,,,
AUDI,A1 Sportback,1.6 TDI 116PS 16'' wheels,M5,1598,Diesel,,,,,4.5,3.2,3.7,62.8,88.3,76.3,97,£879,,£879,6,72.0,109,,36,73,0.00,,,,,,,
AUDI,A1 Sportback,1.6 TDI 116PS 17'' wheels,M5,1598,Diesel,,,,,4.5,3.2,3.7,62.8,88.3,76.3,98,£879,,£879,6,72.0,109,,36,73,0.00,,,,,,,
AUDI,A1 Sportback,1.6 TDI 116PS 7speed S tronic 15'' wheels,D7,1598,Diesel,,,,,4.4,3.4,3.8,64.2,83.1,74.3,99,£903,,£903,6,71.0,109,,27,66,0.19,,,,,,,
AUDI,A1 Sportback,1.6 TDI 116PS 7speed S tronic 16'' wheels,D7,1598,Diesel,,,,,4.4,3.4,3.8,64.2,83.1,74.3,99,£903,,£903,6,71.0,109,,27,66,0.19,,,,,,,
AUDI,A3 Sportback,1.6 TDI 110PS 16'' wheels,M6,1598,Diesel,,,,,4.3,3.5,3.8,65.7,80.7,74.3,99,£903,,£903,6,71.0,116,,54,88,0.00,,,,,,,
AUDI,A4 Saloon,2.0 TDI 150PS Ultra 17'' wheels,M6,1968,Diesel,,,,,4.5,3.4,3.8,62.8,83.1,74.3,99,£903,,£903,6,70.0,196,,63,101,0.03,,,,,,,
BMW,"1 Series 3-door F21, From September 2012",116d 16'' tyres,A8,1496,Diesel,,,,,4.1,3.4,3.6,68.9,83.1,78.5,96,£855,,£855,6,68.0,86,,25,52,0.07,,,,,,,
BMW,"1 Series 3-door F21, From September 2012","116d 16"" tyres",M6,1496,Diesel,,,,,4.1,3.3,3.6,68.9,85.6,78.5,94,£855,,£855,6,68.0,173,,29,62,0.09,,,,,,,
BMW,"1 Series 3-door F21, From September 2012",118d 16'' tyres,A8,1995,Diesel,,,,,4.5,3.4,3.8,62.8,83.1,74.3,99,£903,,£903,6,73.0,169,,30,36,0.09,,,,,,,
BMW,"1 Series 5-door F20, From September 2011",116d 16'' tyres,M6,1496,Diesel,,,,,4.1,3.3,3.6,68.9,85.6,78.5,94,£855,,£855,6,68.0,173,,29,62,0.09,,,,,,,
BMW,"1 Series 5-door F20, From September 2011",116d 16'' tyres,A8,1496,Diesel,,,,,4.1,3.4,3.6,68.9,83.1,78.5,96,£855,,£855,6,68.0,86,,25,52,0.07,,,,,,,
BMW,"1 Series 5-door F20, From September 2011",118d 16'' tyres,A8,1995,Diesel,,,,,4.5,3.4,3.8,62.8,83.1,74.3,99,£903,,£903,6,73.0,169,,30,36,0.09,,,,,,,
BMW,"2 Series Active Tourer F45, From September 2014",216d Active Tourer - 16'' & 17'' tyres,M6,1496,Diesel,,,,,4.4,3.4,3.8,64.2,83.1,74.3,99,£903,,£903,6,69.0,99,,53,79,0.00,,,,,,,
BMW,"3 Series Saloon F30, From February 2012",320d EfficientDynamics - 7Jx16'' wheels,A8,1995,Diesel,,,,,4.6,3.3,3.8,61.4,85.6,74.3,99,£903,,£903,6,73.0,148,,30,38,0.10,,,,,,,
CITROEN,C3,BlueHDi 100 S&S 16/17 inch wheels,M5,1560,Diesel,,,,,4.4,3.2,3.7,64.2,88.3,76.3,95,£879,,£879,6,68.5,301,,33,55,0.08,,,,,,,
CITROEN,C3,BlueHDi 75 S&S 15 inch wheels,M5,1560,Diesel,,,,,4.2,3.1,3.5,67.3,91.1,80.7,92,£831,,£831,6,69.3,181,,28,46,0.29,,,,,,,
CITROEN,C3,BlueHDi 75 S&S 16/17 inch wheels,M5,1560,Diesel,,,,,4.3,3.2,3.6,65.7,88.3,78.5,93,£855,,£855,6,69.3,181,,28,46,0.29,,,,,,,
CITROEN,C4,BlueHDi 100,M5,1560,Diesel,,,,,4.4,3.2,3.6,64.2,88.3,78.5,95,£855,,£855,6,70.4,354,,57,80,0.22,,,,,,,
CITROEN,C4,BlueHDi 100 (17'' wheels),M5,1560,Diesel,,,,,4.5,3.4,3.8,62.8,83.1,74.3,98,£903,,£903,6,70.4,354,,57,80,0.22,,,,,,,
CITROEN,C4,"BlueHDi 120 S&S (16"" wheels)",M6,1560,Diesel,,,,,4.2,3.3,3.6,67.3,85.6,78.5,95,£855,,£855,6,70.1,258,,56,77,0.08,,,,,,,
CITROEN,C4,BlueHDi 120 S&S (17'' & 18'' wheels),M6,1560,Diesel,,,,,4.4,3.5,3.8,64.2,80.7,74.3,100,£903,,£903,6,70.1,258,,56,77,0.08,,,,,,,
CITROEN,C4,BlueHDi 120 S&S EAT6 (16'' wheels) 10/16 production onwards,A6,1560,Diesel,,,,,4.5,3.6,3.9,62.8,78.5,72.4,100,£927,,£927,6,68.0,153,,55,66,0.14,,,,,,,
CITROEN,C4,BlueHDi 120 S&S EAT6 (16'' wheels) production up to 09/16,A6,1560,Diesel,,,,,4.4,3.5,3.8,64.2,80.7,74.3,98,£903,,£903,6,68.0,153,,55,66,0.14,,,,,,,
CITROEN,C4 Cactus,BlueHDi 100,M5,1560,Diesel,,,,,4.2,3.3,3.6,67.3,85.6,78.5,95,£855,,£855,6,70.4,248,,45,63,0.14,,,,,,,
CITROEN,C4 Picasso,BlueHDi 100 S&S (16 inch wheels),M5,1560,Diesel,,,,,4.5,3.5,3.8,62.8,80.7,74.3,99,£903,,£903,6,69.3,202,,23,41,0.27,,,,,,,
CITROEN,C4 Picasso,BlueHDi 100 S&S (17 inch wheels),M5,1560,Diesel,,,,,4.4,3.5,3.8,64.2,80.7,74.3,100,£903,,£903,6,69.3,202,,23,41,0.27,,,,,,,
CITROEN,C4 Picasso,BlueHDi 120 S&S (16 inch wheels),M6,1560,Diesel,,,,,4.4,3.5,3.8,64.2,80.7,74.3,100,£903,,£903,6,69.1,293,,72,97,0.14,,,,,,,
CITROEN,C4 Picasso,BlueHDi 120 S&S (17 inch wheels),M6,1560,Diesel,,,,,4.4,3.5,3.8,64.2,80.7,74.3,100,£903,,£903,6,69.1,293,,72,97,0.14,,,,,,,
CITROEN,C4 Picasso,BlueHDi 120 S&S EAT6 (16 inch wheels) production up to 10/16,A6,1560,Diesel,,,,,4.3,3.5,3.8,65.7,80.7,74.3,100,£903,,£903,6,68.4,118,,59,66,0.13,,,,,,,
CITROEN,Grand C4 Picasso,BlueHDi 100 S&S (16 inch wheels),M5,1560,Diesel,,,,,4.5,3.5,3.8,62.8,80.7,74.3,99,£903,,£903,6,69.3,202,,23,41,0.27,,,,,,,
CITROEN,Grand C4 Picasso,BlueHDi 100 S&S (17 inch wheels),M5,1560,Diesel,,,,,4.4,3.5,3.8,64.2,80.7,74.3,100,£903,,£903,6,69.3,202,,23,41,0.27,,,,,,,
DACIA,"Sandero  Stepway Euro6, 2015",dCi 90,M5,1461,Diesel,,,,,4.4,3.5,3.8,64.7,80.4,74.3,98,£903,,£903,6,74.7,225,,30,87,0.02,,,,,,,
DS,DS3,BlueHDi 120 S&S,M6,1560,Diesel,,,,,4.4,3.2,3.6,64.2,88.3,78.5,94,£855,,£855,6,68.7,161,,69,81,0.27,,,,,,,
DS,DS3 Cabriolet,BlueHDi 100 S&S,M5,1560,Diesel,,,,,4.0,3.3,3.5,70.6,85.6,80.7,92,£831,,£831,6,69.5,196,,34,53,0.08,,,,,,,
DS,DS3 Cabriolet,BlueHDi 120 S&S,M6,1560,Diesel,,,,,4.4,3.2,3.6,64.2,88.3,78.5,94,£855,,£855,6,68.7,161,,69,81,0.27,,,,,,,
DS,DS4,BlueHDi 120 S&S (17'' wheels),M6,1560,Diesel,,,,,4.4,3.5,3.8,64.2,80.7,74.3,100,£903,,£903,6,68.6,204,,58,76,0.30,,,,,,,
FIAT,"Panda, From February 2012 onwards",1.3 16v MultiJet 95 bhp Trekking,M5,1248,Diesel,,,,,4.4,3.5,3.8,64.2,80.7,74.3,100,£903,,£903,6,67.0,164,,53,87,0.59,,,,,,,
FIAT,"Tipo Hatchback, September 2016 Onwards",1.3 MultiJet 95 bhp,M5,1248,Diesel,,,,,4.5,3.3,3.7,62.8,85.6,76.3,99,£879,,£879,6,72.0,216,,54,93,0.39,,,,,,,
FIAT,"Tipo Hatchback, September 2016 Onwards",1.6 MultiJet 120 bhp,M6,1598,Diesel,,,,,4.4,3.3,3.7,64.2,85.6,76.3,98,£879,,£879,6,69.0,166,,66,96,0.13,,,,,,,
FIAT,"Tipo Station Wagon, September 2016 Onwards",1.3 MultiJet 95 bhp,M5,1248,Diesel,,,,,4.5,3.3,3.7,62.8,85.6,76.3,99,£879,,£879,6,72.0,216,,54,93,0.39,,,,,,,
FIAT,"Tipo Station Wagon, September 2016 Onwards",1.6 MultiJet 120 bhp,M6,1598,Diesel,,,,,4.4,3.3,3.7,64.2,85.6,76.3,98,£879,,£879,6,69.0,166,,66,96,0.13,,,,,,,
FORD,"B-MAX, Model Year Post 2017½",1.5 Duratorq TDCi (75PS) Stop-Start ,M5,1499,Diesel,,,,,4.0,3.6,3.8,70.6,78.5,74.3,98,£903,,£903,6,69.0,442,,50,117,0.70,,,,,,,
FORD,"B-MAX, Model Year Post 2017½",1.5 Duratorq TDCi (95PS) Stop-Start ,M5,1499,Diesel,,,,,4.0,3.6,3.8,70.6,78.5,74.3,98,£903,,£903,6,69.0,442,,50,117,0.70,,,,,,,
FORD,"B-MAX, Model Year Pre 2017½",1.5 Duratorq TDCi (75PS) Stop-Start ,M5,1499,Diesel,,,,,4.0,3.6,3.8,70.6,78.5,74.3,98,£903,,£903,6,69.0,442,,50,117,0.70,,,,,,,
FORD,"B-MAX, Model Year Pre 2017½",1.5 Duratorq TDCi (95PS) Stop-Start ,M5,1499,Diesel,,,,,4.0,3.6,3.8,70.6,78.5,74.3,98,£903,,£903,6,69.0,442,,50,117,0.70,,,,,,,
FORD,"C-Max, Model Year Post 2016¼",1.5 TDCi Stop-Start (105PS),M6,1499,Diesel,,,,,4.3,3.5,3.8,65.7,80.7,74.3,99,£903,,£903,6,67.0,405,,65,114,0.41,,,,,,,
FORD,"Fiesta, Model Year Post 2017¼",1.5 Duratorq TDCi (75PS) ,M5,1499,Diesel,,,,,4.3,3.2,3.6,65.7,88.3,78.5,94,£855,,£855,6,70.0,352,,51,103,0.80,,,,,,,
FORD,"Fiesta, Model Year Post 2017¼",1.5 Duratorq TDCi (95PS) ,M5,1499,Diesel,,,,,4.3,3.2,3.6,65.7,88.3,78.5,94,£855,,£855,6,70.0,263,,47,72,0.80,,,,,,,
FORD,"Fiesta, Model Year Pre 2017¼",1.5 Duratorq TDCi (75PS) ,M5,1499,Diesel,,,,,4.3,3.2,3.6,65.7,88.3,78.5,94,£855,,£855,6,70.0,352,,51,103,0.80,,,,,,,
FORD,"Fiesta, Model Year Pre 2017¼",1.5 Duratorq TDCi (95PS) ,M5,1499,Diesel,,,,,4.3,3.2,3.6,65.7,88.3,78.5,94,£855,,£855,6,70.0,263,,47,72,0.80,,,,,,,
FORD,"Focus, Model Year Post 2017",1.5 Duratorq TDCi (120PS) With Stop/Start - 5 Door,A6,1499,Diesel,,,,,4.2,3.6,3.8,67.3,78.5,74.3,99,£903,,£903,6,69.0,224,,46,83,0.49,,,,,,,
FORD,"Focus, Model Year Post 2017",1.5 Duratorq TDCi (120PS) With Stop/Start - 5 Door,M6,1499,Diesel,,,,,4.3,3.4,3.8,65.7,83.1,74.3,99,£903,,£903,6,71.0,248,,53,104,0.84,,,,,,,
FORD,"Focus, Model Year Post 2017",1.5 Duratorq TDCi (120PS) With Stop/Start - Estate,A6,1499,Diesel,,,,,4.2,3.6,3.8,67.3,78.5,74.3,99,£903,,£903,6,69.0,224,,46,83,0.49,,,,,,,
FORD,"Focus, Model Year Post 2017",1.5 Duratorq TDCi (120PS) With Stop/Start - Estate,M6,1499,Diesel,,,,,4.3,3.4,3.8,65.7,83.1,74.3,99,£903,,£903,6,71.0,248,,53,104,0.84,,,,,,,
FORD,"Focus, Model Year Post 2017",1.5 Duratorq TDCi (95PS) With Stop/Start - 5 Door,M6,1499,Diesel,,,,,4.3,3.4,3.8,65.7,83.1,74.3,99,£903,,£903,6,71.0,248,,53,104,0.84,,,,,,,
FORD,"Focus, Model Year Post 2017",1.5 Duratorq TDCi (95PS) With Stop/Start - Estate,M6,1499,Diesel,,,,,4.3,3.4,3.8,65.7,83.1,74.3,99,£903,,£903,6,71.0,248,,53,104,0.84,,,,,,,
FORD,"Focus, Model Year Pre 2017",1.5 Duratorq TDCi (120PS) With Stop/Start - 5 Door,A6,1499,Diesel,,,,,4.2,3.6,3.8,67.3,78.5,74.3,99,£903,,£903,6,69.0,294,,40,75,0.48,,,,,,,
FORD,"Focus, Model Year Pre 2017",1.5 Duratorq TDCi (120PS) With Stop/Start - 5 Door,M6,1499,Diesel,,,,,4.3,3.4,3.8,65.7,83.1,74.3,99,£903,,£903,6,69.0,355,,75,112,0.52,,,,,,,
FORD,"Focus, Model Year Pre 2017",1.5 Duratorq TDCi (120PS) With Stop/Start - Estate,A6,1499,Diesel,,,,,4.2,3.6,3.8,67.3,78.5,74.3,99,£903,,£903,6,69.0,294,,40,75,0.48,,,,,,,
FORD,"Focus, Model Year Pre 2017",1.5 Duratorq TDCi (120PS) With Stop/Start - Estate,M6,1499,Diesel,,,,,4.3,3.4,3.8,65.7,83.1,74.3,99,£903,,£903,6,69.0,355,,75,112,0.52,,,,,,,
FORD,"Focus, Model Year Pre 2017",1.5 Duratorq TDCi (95PS) With Stop/Start - 5 Door,M6,1499,Diesel,,,,,4.3,3.4,3.8,65.7,83.1,74.3,99,£903,,£903,6,68.0,355,,75,112,0.52,,,,,,,
FORD,"Focus, Model Year Pre 2017",1.5 Duratorq TDCi (95PS) With Stop/Start - Estate,M6,1499,Diesel,,,,,4.3,3.4,3.8,65.7,83.1,74.3,99,£903,,£903,6,68.0,355,,75,112,0.52,,,,,,,
FORD,"Mondeo, Model Year Post 2017",1.5 Duratorq TDCi ECOnetic + DPF (120PS) - Estate,M6,1499,Diesel,,,,,4.3,3.5,3.8,65.7,80.7,74.3,99,£903,,£903,6,68.0,407,,70,108,0.71,,,,,,,
FORD,"Mondeo, Model Year Post 2017",1.5 Duratorq TDCi ECOnetic + DPF (120PS) - Hatchback ,M6,1499,Diesel,,,,,4.1,3.3,3.6,68.9,85.6,78.5,94,£855,,£855,6,68.0,407,,70,108,0.71,,,,,,,
